11350	14265	17
4506	4728	66
7193	3958	10
12358	2308	31
13257	479	75
11240	2232	59
5371	3370	145
6331	2691	227
8924	1064	47
13886	1278	75
469	1326	115
1226	7835	6
13181	4513	8
8129	13895	12
5876	6732	43
3057	13274	123
4867	12932	13
950	6114	20
3710	5129	3
6379	10987	137
5675	3346	6
8941	7317	51
14343	131	17
8205	4267	38
2148	7883	38
4332	1658	120
879	3335	71
10937	6289	17
5820	1017	19
5673	3274	32
11863	3263	24
4609	13925	215
1464	9397	101
4657	11871	85
12957	90	208
11944	2719	47
3529	11314	198
3854	268	86
210	5964	42
10830	1939	38
1728	12471	31
5265	1653	38
1441	1246	13
12525	5717	52
3589	11591	30
6581	4731	14
7784	3508	7
1840	6364	27
14216	64	26
5236	5446	31
741	7514	47
480	7536	9
5064	1304	13
2692	14065	15
805	1513	13
6827	3213	12
1366	13009	17
11704	9971	146
1230	13820	8
7602	1239	14
5355	12753	8
7544	871	17
944	158	13
9906	5062	66
12087	4487	95
14350	124	75
8216	1154	3
11007	2023	225
7650	8006	89
9556	11351	13
14093	105	37
4098	9714	146
10219	342	26
11455	5054	154
802	1581	38
164	6242	49
3120	6512	120
1080	8125	23
1693	5930	27
6214	260	28
636	1337	38
7722	2409	6
13545	1594	109
13327	3886	83
3312	160	100
6910	9879	12
1862	11957	140
3051	10691	15
1806	8000	15
8362	202	13
8199	90	60
2963	9	5
4082	4287	82
3577	2676	8
3875	6199	40
10129	4698	17
11	14159	130
9240	611	35
5557	4733	197
10632	5503	123
2596	8066	3
8412	13362	19
4566	6000	31
11921	10187	6
5932	858	197
181	13965	69
254	4888	172
12826	10420	22
6371	5701	175
1281	32	28
5505	189	30
1612	434	85
3189	7164	38
13777	657	31
9896	7134	166
281	393	17
1147	1115	8
32	7233	72
8227	210	57
5214	8256	40
11361	697	133
633	3094	13
138	10821	42
7607	11627	25
10811	1057	117
3521	2948	26
7217	10320	58
2085	2920	75
5451	5365	106
12892	13060	6
12878	6510	48
8116	5687	26
2363	105	224
8722	955	19
5939	4138	13
1535	4574	8
12797	1806	143
438	9086	26
13169	1990	30
5763	1843	7
382	12197	2
8095	12361	24
11372	2722	104
5061	7887	21
7593	1806	58
10451	12278	15
2269	2085	3
3422	843	6
3552	2438	154
298	2492	3
11752	1800	101
14100	5302	15
2930	13854	6
117	13315	130
5942	14060	31
3211	11349	137
1084	4561	75
32	826	15
2850	740	6
13071	1968	10
8663	249	106
9766	11635	13
8778	4472	20
3214	1566	31
4046	990	26
6805	3322	103
9376	163	31
11511	1481	101
6927	9327	28
11641	5917	43
2866	3735	7
4615	27	13
8639	8905	39
11520	6375	109
5023	6868	27
11370	967	17
6962	7305	8
1143	6339	74
10811	5547	8
1489	4341	7
6804	11315	134
3849	4491	10
8013	4032	155
13905	4399	32
2735	1934	29
410	2336	32
12116	434	85
1598	1431	203
12214	2191	19
8944	2150	7
12793	3277	7
912	9278	210
14481	1457	66
671	3996	8
4721	13900	130
8456	10540	14
7256	8110	76
10280	4236	6
7640	32	133
5855	8373	38
2561	9536	102
9637	5368	43
1820	212	75
10228	10697	43
917	993	13
2820	13539	7
3506	11865	17
6002	7980	6
1056	27	13
1995	13257	19
12067	9913	137
1571	2839	86
748	10713	69
69	11497	7
9776	12183	17
2553	8806	20
9375	13756	13
1042	10683	75
3663	521	61
399	5322	130
724	12365	19
427	13346	66
12029	1940	70
30	129	6
9220	9930	77
6972	8461	134
5780	3896	20
12203	1445	131
3194	2146	3
8422	2633	19
2820	12062	7
6763	1010	8
2146	465	8
9830	349	21
5031	13038	31
5746	892	30
2410	5056	23
13862	131	17
1715	6384	20
6447	1319	3
9925	13212	20
11848	2966	75
5562	5622	12
10651	249	66
